name;latitude;longitude;elevation;Plane Bank Degrees;Plane Pitch Degrees;Plane Heading Degrees True
1690732070;47.07637;-0.892021;900;0;0;327
1690732076;47.078045;-0.892991;975;0;0;343
1690732079;47.079628;-0.893414;1000;0;0;350
1690732082;47.080978;-0.893414;1050;0;0;350
1690732085;47.082329;-0.893062;1125;0;0;9
1690732088;47.083557;-0.892296;1175;0;0;26
1690732091;47.084377;-0.891583;1225;0;0;32
1690732094;47.085663;-0.890167;1250;0;0;36
1690732097;47.086613;-0.889188;1325;0;0;36
1690732100;47.087814;-0.887833;1375;0;0;37
1690732103;47.088985;-0.886371;1425;0;0;40
1690732106;47.089325;-0.885979;1450;0;0;43
1690732109;47.090847;-0.883484;1525;0;0;49
1690732112;47.091499;-0.882216;1575;0;0;55
1690732115;47.092289;-0.880103;1650;0;0;62
1690732118;47.092804;-0.87822;1675;0;0;70
1690732121;47.093128;-0.87623;1750;0;0;76
1690732124;47.093353;-0.874512;1800;0;0;80
1690732127;47.093548;-0.872427;1875;0;0;82
1690732130;47.093735;-0.870174;1900;0;0;81
1690732133;47.093967;-0.868131;1950;0;0;80
1690732136;47.094246;-0.865455;1975;0;0;79
1690732139;47.094452;-0.863388;1975;0;0;80
1690732142;47.094711;-0.860948;2000;0;0;80
1690732145;47.094944;-0.858694;2025;0;0;82
1690732148;47.095184;-0.855835;2050;0;0;83
1690732151;47.095364;-0.853271;2075;0;0;83
1690732157;47.095734;-0.848282;2100;0;0;82
1690732166;47.096527;-0.840384;2150;0;0;78
1690732172;47.097382;-0.834892;2125;0;0;75
1690732175;47.097878;-0.832285;2125;0;0;72
1690732178;47.098434;-0.829605;2125;0;0;72
1690732181;47.098995;-0.826932;2125;0;0;71
1690732184;47.099625;-0.824249;2125;0;0;72
1690732187;47.10022;-0.821365;2125;0;0;71
1690732190;47.100857;-0.818552;2100;0;0;72
1690732193;47.101414;-0.816017;2100;0;0;71
1690732196;47.102112;-0.812918;2075;0;0;71
1690732205;47.103973;-0.804268;2075;0;0;72
1690732214;47.105606;-0.796931;2000;0;0;70
1690732223;47.108185;-0.786072;1925;0;0;69
1690732232;47.110245;-0.776871;1875;0;0;73
1690732242;47.112354;-0.767141;1850;0;0;70
1690732250;47.113953;-0.759087;1875;0;0;76
1690732253;47.114494;-0.755592;1875;0;0;77
1690732256;47.114914;-0.752704;1875;0;0;77
1690732259;47.115379;-0.749324;1850;0;0;77
1690732262;47.115829;-0.745834;1825;0;0;78
1690732265;47.116264;-0.742704;1825;0;0;78
1690732268;47.116653;-0.740067;1825;0;0;78
1690732271;47.11702;-0.737183;1825;0;0;78
1690732274;47.117569;-0.733475;1825;0;0;77
1690732283;47.119011;-0.724675;1825;0;0;74
1690732292;47.120636;-0.715622;1850;0;0;74
1690732298;47.121918;-0.709236;1825;0;0;72
1690732300;47.122269;-0.707421;1825;0;0;72
1690732307;47.12376;-0.700378;1850;0;0;71
1690732309;47.124084;-0.698759;1825;0;0;71
1690732320;47.126461;-0.688336;1825;0;0;70
1690732328;47.128277;-0.680237;1850;0;0;72
1690732337;47.130203;-0.671471;1825;0;0;72
1690732345;47.131905;-0.663898;1825;0;0;70
1690732354;47.13382;-0.655678;1850;0;0;71
1690732360;47.135399;-0.649038;1850;0;0;69
1690732369;47.137165;-0.641785;1825;0;0;69
1690732376;47.138981;-0.63432;1825;0;0;69
1690732386;47.141125;-0.625516;1825;0;0;69
1690732395;47.143032;-0.617136;1825;0;0;71
1690732403;47.144714;-0.609329;1825;0;0;72
1690732413;47.146477;-0.601149;1825;0;0;72
1690732422;47.148193;-0.592987;1850;0;0;71
1690732431;47.150017;-0.584599;1850;0;0;72
1690732439;47.151581;-0.577332;1825;0;0;72
1690732446;47.152542;-0.573143;1850;0;0;71
1690732458;47.155243;-0.561607;1850;0;0;71
1690732467;47.156998;-0.553753;1850;0;0;71
1690732475;47.158859;-0.54554;1850;0;0;71
1690732483;47.160118;-0.539739;1850;0;0;72
1690732494;47.162632;-0.528964;1850;0;0;70
1690732504;47.164856;-0.519516;1850;0;0;71
1690732515;47.167145;-0.509667;1850;0;0;70
1690732525;47.169476;-0.499948;1850;0;0;70
1690732535;47.171661;-0.490511;1850;0;0;70
1690732546;47.174011;-0.480583;1850;0;0;71
1690732556;47.176254;-0.470901;1825;0;0;71
1690732566;47.17836;-0.4617;1850;0;0;71
1690732577;47.180511;-0.452225;1825;0;0;70
1690732586;47.182278;-0.444242;1850;0;0;71
1690732598;47.184605;-0.433678;1825;0;0;71
1690732608;47.186691;-0.424828;1850;0;0;71
1690732618;47.188839;-0.415579;1850;0;0;70
1690732629;47.19075;-0.406846;1850;0;0;71
1690732639;47.192936;-0.396846;1850;0;0;71
1690732650;47.195126;-0.386846;1850;0;0;71
1690732660;47.197266;-0.377409;1825;0;0;71
1690732670;47.199501;-0.367901;1850;0;0;67
1690732675;47.200943;-0.363394;1850;0;0;63
1690732681;47.202484;-0.358772;1825;0;0;62
1690732686;47.203922;-0.35452;1825;0;0;62
1690732691;47.20546;-0.349915;1825;0;0;62
1690732702;47.208576;-0.340999;1875;0;0;61
1690732712;47.211697;-0.332055;1850;0;0;62
1690732722;47.21521;-0.322517;1850;0;0;61
1690732733;47.218597;-0.313248;1825;0;0;60
1690732742;47.221474;-0.305434;1850;0;0;62
1690732751;47.22464;-0.297043;1825;0;0;60
1690732762;47.228363;-0.287898;1825;0;0;57
1690732769;47.230644;-0.282828;1850;0;0;55
1690732773;47.232132;-0.279658;1850;0;0;54
1690732784;47.236416;-0.270996;1850;0;0;53
1690732795;47.240654;-0.262545;1850;0;0;51
1690732805;47.244934;-0.25515;1825;0;0;47
1690732810;47.247253;-0.251312;1825;0;0;47
